2018-12-16 10:25:25,536 [Worker-5: Loading available Gradle versions] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache is up-to-date. Trying to read.
2018-12-16 10:37:27,696 [Worker-13: Creating project "com.hospital.is"] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: HospitalDAO:com.hospital.is:0.0.1-SNAPSHOT @ E:\WorkSpace\com.hospital.is\pom.xml.
2018-12-16 10:37:28,802 [Worker-13: Creating project "com.hospital.is"] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /com.hospital.is/src/main/java
2018-12-16 10:37:28,804 [Worker-13: Creating project "com.hospital.is"] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /com.hospital.is/src/main/resources
2018-12-16 10:37:28,806 [Worker-13: Creating project "com.hospital.is"] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /com.hospital.is/src/test/java
2018-12-16 10:37:28,807 [Worker-13: Creating project "com.hospital.is"] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /com.hospital.is/src/test/resources
2018-12-16 10:37:30,454 [Worker-15: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-12-16 10:37:30,460 [Worker-15: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-12-16 10:37:30,462 [Worker-15: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-12-16 10:37:30,463 [Worker-15: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-12-16 10:37:31,702 [Worker-1: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-12-16 10:37:31,706 [Worker-1: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-12-16 10:37:31,709 [Worker-1: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-12-16 10:37:31,710 [Worker-1: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-12-16 10:37:41,945 [Worker-17: Building workspace] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: HospitalDAO:com.hospital.is:0.0.1-SNAPSHOT @ E:\WorkSpace\HospitalDAO\pom.xml.
2018-12-16 10:37:42,136 [Worker-17: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-12-16 10:37:42,138 [Worker-17: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-12-16 10:37:42,139 [Worker-17: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-12-16 10:37:42,141 [Worker-17: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-12-16 10:40:53,974 [Worker-1: Creating project "com.hospital.is"] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: HospitalManager:com.hospital.is:0.0.1-SNAPSHOT @ E:\WorkSpace\com.hospital.is\pom.xml.
2018-12-16 10:40:54,260 [Worker-1: Creating project "com.hospital.is"] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /com.hospital.is/src/main/java
2018-12-16 10:40:54,261 [Worker-1: Creating project "com.hospital.is"] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /com.hospital.is/src/main/resources
2018-12-16 10:40:54,262 [Worker-1: Creating project "com.hospital.is"] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /com.hospital.is/src/test/java
2018-12-16 10:40:54,263 [Worker-1: Creating project "com.hospital.is"] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /com.hospital.is/src/test/resources
2018-12-16 10:40:54,565 [Worker-19: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-12-16 10:40:54,566 [Worker-19: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-12-16 10:40:54,567 [Worker-19: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-12-16 10:40:54,568 [Worker-19: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-12-16 10:41:16,102 [Worker-3: Building workspace] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: HospitalManager:com.hospital.is:0.0.1-SNAPSHOT @ E:\WorkSpace\HospitalManager\pom.xml.
2018-12-16 10:41:16,286 [Worker-3: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-12-16 10:41:16,287 [Worker-3: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-12-16 10:41:16,289 [Worker-3: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-12-16 10:41:16,290 [Worker-3: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-12-16 10:42:17,811 [Worker-19: Creating project "com.hospital.is"] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: HospitalWeb:com.hospital.is:0.0.1-SNAPSHOT @ E:\WorkSpace\com.hospital.is\pom.xml.
2018-12-16 10:42:18,069 [Worker-19: Creating project "com.hospital.is"] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /com.hospital.is/src/main/java
2018-12-16 10:42:18,070 [Worker-19: Creating project "com.hospital.is"] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /com.hospital.is/src/main/resources
2018-12-16 10:42:18,071 [Worker-19: Creating project "com.hospital.is"] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /com.hospital.is/src/test/java
2018-12-16 10:42:18,071 [Worker-19: Creating project "com.hospital.is"] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /com.hospital.is/src/test/resources
2018-12-16 10:42:18,317 [Worker-3: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-12-16 10:42:18,320 [Worker-3: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-12-16 10:42:18,321 [Worker-3: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
